FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQDB_RQ1103_Feed, PP, Feed, Source, SMQ.RKEM.EDDI.FEED.RCV,IQDB,FALSE,        RKEM
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQDB_RQ1103_Feed, PP, Feed, Destination, IIB.EDDI2.CONT.MOVES.EVENT,RQ1103,TRUE,        EDDI2
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQDB_RQ1104_Feed, PP, Feed, Source, SMQ.RKEM.EDDI.FEED.RCV,IQDB,FALSE,        RKEM
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQDB_RQ1104_Feed, PP, Feed, Destination, IIB.EDDI2.CONT.MOVES.EVENT,RQ1104,TRUE,        EDDI2
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQMD_RQ1103_Feed, PP, Feed, Source, SMQ.RKEM.EDDI.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQMD_RQ1103_Feed, PP, Feed, Destination, IIB.EDDI2.CONT.MOVES.EVENT,RQ1103,TRUE,        EDDI2
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQMD_RQ1104_Feed, PP, Feed, Source, SMQ.RKEM.EDDI.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.eddi2.RKEM_EDDI2_CONT_MOVES_Inbound_IQMD_RQ1104_Feed, PP, Feed, Destination, IIB.EDDI2.CONT.MOVES.EVENT,RQ1104,TRUE,        EDDI2
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1103_GCSSSIT1_Reply, PP, Reply, Source, SMQ.EDDI2.GQ.VV.RQ1103.REPLY.RCV,GCSSSIT1,FALSE,        GCSS
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1103_GCSSSIT1_Reply, PP, Reply, Destination, IIB.EDDI2.GQ.VV.REPLY.RCV,RQ1103,TRUE,        EDDI2
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1103_GCSSSIT1_Request, PP, Request, Source, IIB.EDDI2.GQ.VV.REQ.RCV,RQ1103,TRUE,        EDDI2
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1103_GCSSSIT1_Request, PP, Request, Destination, SMQ.EDDI2.GQ.VV.REQ,GCSSSIT1,FALSE,        GCSS
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1104_GCSSSIT1_Reply, PP, Reply, Source, SMQ.EDDI2.GQ.VV.RQ1104.REPLY.RCV,GCSSSIT1,FALSE,        GCSS
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1104_GCSSSIT1_Reply, PP, Reply, Destination, IIB.EDDI2.GQ.VV.REPLY.RCV,RQ1104,TRUE,        EDDI2
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1104_GCSSSIT1_Request, PP, Request, Source, IIB.EDDI2.GQ.VV.REQ.RCV,RQ1104,TRUE,        EDDI2
net.apmoller.smq.rr.eddi2.EDDI2_GCSS_VV_RQ1104_GCSSSIT1_Request, PP, Request, Destination, SMQ.EDDI2.GQ.VV.REQ,GCSSSIT1,FALSE,        GCSS
net.apmoller.smq.feed.seq.gleo3.GCSS_GLEO3_STATUS_Inbound_RQ1107_Feed, PP, Feed, Destination, IIB.GLEO.GCSS.STATUS.EVENT,RQ1107,TRUE,        GLEO3
